MMRPED26I7,TEST_R,-100000.00,-125.28,20210201,20210316,1.10
MMRPEB255V,TEST_R,-200911.34,-131.01,20210315,20210413,0.85
MMRPEB24DV,TEST_R,0.00,0.00,,20210315,0.65
MMRPEA25RM,TEST_R,0.00,0.00,,,1.25
MMRPEA2560,TEST_R,0.00,0.00,20210201,,0.75
MMRPE926F5,TEST_R,300000.00,0.00,20210315,20210316,1.65
MMRPE926ES,TEST_R,0.00,0.00,20210315,20210416,1.10
MMRPE92685,TEST_R,0.00,0.00,20210225,20210315,1.35
MMRPE426JW,TEST_R,-300000.00,-253.33,20210224,20210329,0.95
MMRPE326EA,TEST_R,-500000.00,-145.14,20210301,20210316,0.95
MMRPE125YY,TEST_R,-200000.00,-115.07,20210201,20210316,0.75
